index,runs,opponent,ground,date,match,Match_No,total,Date,Month,Year
0,12,SriLanka,Dambulla,18-Aug-08,ODI,1,12,18,08,2008
1,37,SriLanka,Dambulla,20-Aug-08,ODI,2,49,20,08,2008
2,25,SriLanka,Colombo(RPS),24-Aug-08,ODI,3,74,24,08,2008
3,54,SriLanka,Colombo(RPS),27-Aug-08,ODI,4,128,27,08,2008
4,31,SriLanka,Colombo(RPS),29-Aug-08,ODI,5,159,29,08,2008
5,2,SriLanka,Colombo(RPS),14-Sep-09,ODI,6,161,14,09,2009
6,16,Pakistan,Centurion,26-Sep-09,ODI,7,177,26,09,2009
8,79,WestIndies,Johannesburg,30-Sep-09,ODI,8,256,30,09,2009
9,30,Australia,Vadodara,25-Oct-09,ODI,9,286,25,10,2009
10,10,Australia,Mohali,02-Nov-09,ODI,10,296,02,11,2009
11,27,SriLanka,Rajkot,15-Dec-09,ODI,11,323,15,12,2009
12,54,SriLanka,Nagpur,18-Dec-09,ODI,12,377,18,12,2009
13,107,SriLanka,Kolkata,24-Dec-09,ODI,13,484,24,12,2009
15,9,SriLanka,Mirpur,05-Jan-10,ODI,14,493,05,01,2010
16,91,Bangladesh,Mirpur,07-Jan-10,ODI,15,584,07,01,2010
17,71,SriLanka,Mirpur,10-Jan-10,ODI,16,655,10,01,2010
18,102,Bangladesh,Mirpur,11-Jan-10,ODI,17,757,11,01,2010
19,2,SriLanka,Mirpur,13-Jan-10,ODI,18,759,13,01,2010
20,31,SouthAfrica,Jaipur,21-Feb-10,ODI,19,790,21,02,2010
22,57,SouthAfrica,Ahmedabad,27-Feb-10,ODI,20,847,27,02,2010
23,0,Zimbabwe,Bulawayo,28-May-10,ODI,21,847,28,05,2010
24,82,SriLanka,Bulawayo,30-May-10,ODI,22,929,30,05,2010
25,18,Zimbabwe,Harare,03-Jun-10,ODI,23,947,03,06,2010
26,68,SriLanka,Harare,05-Jun-10,ODI,24,1015,05,06,2010
