index,runs,opponent,ground,date,match,Match_No,total,Date,Month,Year
27,26,Zimbabwe,Harare,12-Jun-10,T20,25,1041,12,06,2010
29,11,Bangladesh,Dambulla,16-Jun-10,ODI,26,1052,16,06,2010
30,18,Pakistan,Dambulla,19-Jun-10,ODI,27,1070,19,06,2010
31,10,SriLanka,Dambulla,22-Jun-10,ODI,28,1080,22,06,2010
32,28,SriLanka,Dambulla,24-Jun-10,ODI,29,1108,24,06,2010
33,0,SriLanka,Dambulla,16-Aug-10,ODI,30,1108,16,08,2010
34,8,NewZealand,Dambulla,25-Aug-10,ODI,31,1116,25,08,2010
35,37,SriLanka,Dambulla,28-Aug-10,ODI,32,1153,28,08,2010
36,118,Australia,Visakhapatnam,20-Oct-10,ODI,33,1271,20,10,2010
37,105,NewZealand,Guwahati,28-Nov-10,ODI,34,1376,28,11,2010
38,64,NewZealand,Jaipur,01-Dec-10,ODI,35,1440,01,12,2010
39,63,NewZealand,Vadodara,04-Dec-10,ODI,36,1503,04,12,2010
40,0,NewZealand,Bengaluru,07-Dec-10,ODI,37,1503,07,12,2010
41,2,NewZealand,Chennai,10-Dec-10,ODI,38,1505,10,12,2010
42,28,SouthAfrica,Durban,09-Jan-11,T20,39,1533,09,01,2011
43,54,SouthAfrica,Durban,12-Jan-11,ODI,40,1587,12,01,2011
44,22,SouthAfrica,Johannesburg,15-Jan-11,ODI,41,1609,15,01,2011
45,28,SouthAfrica,CapeTown,18-Jan-11,ODI,42,1637,18,01,2011
46,87,SouthAfrica,Gqeberha,21-Jan-11,ODI,43,1724,21,01,2011
47,2,SouthAfrica,Centurion,23-Jan-11,ODI,44,1726,23,01,2011
48,100,Bangladesh,Mirpur,19-Feb-11,ODI,45,1826,19,02,2011
49,8,England,Bengaluru,27-Feb-11,ODI,46,1834,27,02,2011
50,34,Ireland,Bengaluru,06-Mar-11,ODI,47,1868,06,03,2011
51,12,Netherlands,Delhi,09-Mar-11,ODI,48,1880,09,03,2011
52,1,SouthAfrica,Nagpur,12-Mar-11,ODI,49,1881,12,03,2011
53,59,WestIndies,Chennai,20-Mar-11,ODI,50,1940,20,03,2011
54,24,Australia,Ahmedabad,24-Mar-11,ODI,51,1964,24,03,2011
55,9,Pakistan,Mohali,30-Mar-11,ODI,52,1973,30,03,2011
56,35,SriLanka,Wankhede,02-Apr-11,ODI,53,2008,02,04,2011
57,14,WestIndies,PortofSpain,04-Jun-11,T20,54,2022,04,06,2011
58,2,WestIndies,PortofSpain,06-Jun-11,ODI,55,2024,06,06,2011
59,81,WestIndies,PortofSpain,08-Jun-11,ODI,56,2105,08,06,2011
60,0,WestIndies,NorthSound,11-Jun-11,ODI,57,2105,11,06,2011
61,22,WestIndies,NorthSound,13-Jun-11,ODI,58,2127,13,06,2011
62,94,WestIndies,Kingston,16-Jun-11,ODI,59,2221,16,06,2011
63,4,WestIndies,Kingston,20-Jun-11,Test,60,2225,20,06,2011
64,15,WestIndies,Kingston,20-Jun-11,Test,61,2240,20,06,2011
65,0,WestIndies,Bridgetown,28-Jun-11,Test,62,2240,28,06,2011
66,27,WestIndies,Bridgetown,28-Jun-11,Test,63,2267,28,06,2011
67,30,WestIndies,Roseau,06-Jul-11,Test,64,2297,06,07,2011
69,4,England,Manchester,31-Aug-11,T20,65,2301,31,08,2011
70,55,England,Chester-le-Street,03-Sep-11,ODI,66,2356,03,09,2011
71,9,England,Southampton,06-Sep-11,ODI,67,2365,06,09,2011
72,7,England,TheOval,09-Sep-11,ODI,68,2372,09,09,2011
73,16,England,Lord's,11-Sep-11,ODI,69,2388,11,09,2011
74,107,England,Cardiff,16-Sep-11,ODI,70,2495,16,09,2011
75,37,England,Hyderabad(Deccan),14-Oct-11,ODI,71,2532,14,10,2011
76,112,England,Delhi,17-Oct-11,ODI,72,2644,17,10,2011
77,35,England,Mohali,20-Oct-11,ODI,73,2679,20,10,2011
78,86,England,Wankhede,23-Oct-11,ODI,74,2765,23,10,2011
79,0,England,Kolkata,25-Oct-11,ODI,75,2765,25,10,2011
80,15,England,Kolkata,29-Oct-11,T20,76,2780,29,10,2011
81,52,WestIndies,Wankhede,22-Nov-11,Test,77,2832,22,11,2011
82,63,WestIndies,Wankhede,22-Nov-11,Test,78,2895,22,11,2011
83,3,WestIndies,Cuttack,29-Nov-11,ODI,79,2898,29,11,2011
84,117,WestIndies,Visakhapatnam,02-Dec-11,ODI,80,3015,02,12,2011
85,20,WestIndies,Ahmedabad,05-Dec-11,ODI,81,3035,05,12,2011
86,23,WestIndies,Indore,08-Dec-11,ODI,82,3058,08,12,2011
87,80,WestIndies,Chennai,11-Dec-11,ODI,83,3138,11,12,2011
88,11,Australia,Melbourne,26-Dec-11,Test,84,3149,26,12,2011
89,0,Australia,Melbourne,26-Dec-11,Test,85,3149,26,12,2011
90,23,Australia,Sydney,03-Jan-12,Test,86,3172,03,01,2012
91,9,Australia,Sydney,03-Jan-12,Test,87,3181,03,01,2012
92,44,Australia,Perth,13-Jan-12,Test,88,3225,13,01,2012
93,75,Australia,Perth,13-Jan-12,Test,89,3300,13,01,2012
94,116,Australia,Adelaide,24-Jan-12,Test,90,3416,24,01,2012
95,22,Australia,Adelaide,24-Jan-12,Test,91,3438,24,01,2012
96,22,Australia,Sydney,01-Feb-12,T20,92,3460,01,02,2012
97,31,Australia,Melbourne,03-Feb-12,T20,93,3491,03,02,2012
98,31,Australia,Melbourne,05-Feb-12,ODI,94,3522,05,02,2012
99,77,SriLanka,Perth,08-Feb-12,ODI,95,3599,08,02,2012
100,18,Australia,Adelaide,12-Feb-12,ODI,96,3617,12,02,2012
101,15,SriLanka,Adelaide,14-Feb-12,ODI,97,3632,14,02,2012
102,12,Australia,Brisbane,19-Feb-12,ODI,98,3644,19,02,2012
103,66,SriLanka,Brisbane,21-Feb-12,ODI,99,3710,21,02,2012
104,21,Australia,Sydney,26-Feb-12,ODI,100,3731,26,02,2012
105,133,SriLanka,Hobart,28-Feb-12,ODI,101,3864,28,02,2012
106,108,SriLanka,Mirpur,13-Mar-12,ODI,102,3972,13,03,2012
107,66,Bangladesh,Mirpur,16-Mar-12,ODI,103,4038,16,03,2012
108,183,Pakistan,Mirpur,18-Mar-12,ODI,104,4221,18,03,2012
110,106,SriLanka,Hambantota,21-Jul-12,ODI,105,4327,21,07,2012
111,1,SriLanka,Hambantota,24-Jul-12,ODI,106,4328,24,07,2012
112,38,SriLanka,Colombo(RPS),28-Jul-12,ODI,107,4366,28,07,2012
113,128,SriLanka,Colombo(RPS),31-Jul-12,ODI,108,4494,31,07,2012
114,23,SriLanka,Pallekele,04-Aug-12,ODI,109,4517,04,08,2012
115,68,SriLanka,Pallekele,07-Aug-12,T20,110,4585,07,08,2012
116,58,NewZealand,Hyderabad(Deccan),23-Aug-12,Test,111,4643,23,08,2012
117,103,NewZealand,Bengaluru,31-Aug-12,Test,112,4746,31,08,2012
118,51,NewZealand,Bengaluru,31-Aug-12,Test,113,4797,31,08,2012
119,70,NewZealand,Chennai,11-Sep-12,T20,114,4867,11,09,2012
120,50,Afghanistan,Colombo(RPS),19-Sep-12,T20,115,4917,19,09,2012
121,40,England,Colombo(RPS),23-Sep-12,T20,116,4957,23,09,2012
122,15,Australia,Colombo(RPS),28-Sep-12,T20,117,4972,28,09,2012
123,78,Pakistan,Colombo(RPS),30-Sep-12,T20,118,5050,30,09,2012
124,2,SouthAfrica,Colombo(RPS),02-Oct-12,T20,119,5052,02,10,2012
125,19,England,Ahmedabad,15-Nov-12,Test,120,5071,15,11,2012
126,14,England,Ahmedabad,15-Nov-12,Test,121,5085,15,11,2012
127,19,England,Wankhede,23-Nov-12,Test,122,5104,23,11,2012
128,7,England,Wankhede,23-Nov-12,Test,123,5111,23,11,2012
129,6,England,Kolkata,05-Dec-12,Test,124,5117,05,12,2012
130,20,England,Kolkata,05-Dec-12,Test,125,5137,05,12,2012
131,103,England,Nagpur,13-Dec-12,Test,126,5240,13,12,2012
132,21,England,Pune,20-Dec-12,T20,127,5261,20,12,2012
133,38,England,Wankhede,22-Dec-12,T20,128,5299,22,12,2012
134,9,Pakistan,Bengaluru,25-Dec-12,T20,129,5308,25,12,2012
135,27,Pakistan,Ahmedabad,28-Dec-12,T20,130,5335,28,12,2012
136,0,Pakistan,Chennai,30-Dec-12,ODI,131,5335,30,12,2012
137,6,Pakistan,Kolkata,03-Jan-13,ODI,132,5341,03,01,2013
138,7,Pakistan,Delhi,06-Jan-13,ODI,133,5348,06,01,2013
139,15,England,Rajkot,11-Jan-13,ODI,134,5363,11,01,2013
140,37,England,Kochi,15-Jan-13,ODI,135,5400,15,01,2013
141,77,England,Ranchi,19-Jan-13,ODI,136,5477,19,01,2013
142,26,England,Mohali,23-Jan-13,ODI,137,5503,23,01,2013
143,0,England,Dharamsala,27-Jan-13,ODI,138,5503,27,01,2013
144,107,Australia,Chennai,22-Feb-13,Test,139,5610,22,02,2013
146,34,Australia,Hyderabad(Deccan),02-Mar-13,Test,140,5644,02,03,2013
147,67,Australia,Mohali,14-Mar-13,Test,141,5711,14,03,2013
148,34,Australia,Mohali,14-Mar-13,Test,142,5745,14,03,2013
149,1,Australia,Delhi,22-Mar-13,Test,143,5746,22,03,2013
150,41,Australia,Delhi,22-Mar-13,Test,144,5787,22,03,2013
151,31,SouthAfrica,Cardiff,06-Jun-13,ODI,145,5818,06,06,2013
152,22,WestIndies,TheOval,11-Jun-13,ODI,146,5840,11,06,2013
153,22,Pakistan,Birmingham,15-Jun-13,ODI,147,5862,15,06,2013
154,58,SriLanka,Cardiff,20-Jun-13,ODI,148,5920,20,06,2013
155,43,England,Birmingham,23-Jun-13,ODI,149,5963,23,06,2013
156,11,WestIndies,Kingston,30-Jun-13,ODI,150,5974,30,06,2013
157,2,SriLanka,Kingston,02-Jul-13,ODI,151,5976,02,07,2013
158,102,WestIndies,PortofSpain,05-Jul-13,ODI,152,6078,05,07,2013
159,31,SriLanka,PortofSpain,09-Jul-13,ODI,153,6109,09,07,2013
160,2,SriLanka,PortofSpain,11-Jul-13,ODI,154,6111,11,07,2013
161,115,Zimbabwe,Harare,24-Jul-13,ODI,155,6226,24,07,2013
162,14,Zimbabwe,Harare,26-Jul-13,ODI,156,6240,26,07,2013
163,68,Zimbabwe,Harare,28-Jul-13,ODI,157,6308,28,07,2013
166,29,Australia,Rajkot,10-Oct-13,T20,158,6337,10,10,2013
167,61,Australia,Pune,13-Oct-13,ODI,159,6398,13,10,2013
168,100,Australia,Jaipur,16-Oct-13,ODI,160,6498,16,10,2013
169,68,Australia,Mohali,19-Oct-13,ODI,161,6566,19,10,2013
171,115,Australia,Nagpur,30-Oct-13,ODI,162,6681,30,10,2013
172,0,Australia,Bengaluru,02-Nov-13,ODI,163,6681,02,11,2013
173,3,WestIndies,Kolkata,06-Nov-13,Test,164,6684,06,11,2013
174,57,WestIndies,Wankhede,14-Nov-13,Test,165,6741,14,11,2013
175,86,WestIndies,Kochi,21-Nov-13,ODI,166,6827,21,11,2013
176,99,WestIndies,Visakhapatnam,24-Nov-13,ODI,167,6926,24,11,2013
177,19,WestIndies,Kanpur,27-Nov-13,ODI,168,6945,27,11,2013
178,31,SouthAfrica,Johannesburg,05-Dec-13,ODI,169,6976,05,12,2013
179,0,SouthAfrica,Durban,08-Dec-13,ODI,170,6976,08,12,2013
181,119,SouthAfrica,Johannesburg,18-Dec-13,Test,171,7095,18,12,2013
182,96,SouthAfrica,Johannesburg,18-Dec-13,Test,172,7191,18,12,2013
183,46,SouthAfrica,Durban,26-Dec-13,Test,173,7237,26,12,2013
184,11,SouthAfrica,Durban,26-Dec-13,Test,174,7248,26,12,2013
185,123,NewZealand,Napier,19-Jan-14,ODI,175,7371,19,01,2014
186,78,NewZealand,Hamilton,22-Jan-14,ODI,176,7449,22,01,2014
187,6,NewZealand,Auckland,25-Jan-14,ODI,177,7455,25,01,2014
188,2,NewZealand,Hamilton,28-Jan-14,ODI,178,7457,28,01,2014
189,82,NewZealand,Wellington,31-Jan-14,ODI,179,7539,31,01,2014
